28803533271526,171666
28804185969848,171624
28804835173140,187958
28805511138891,684665
28806185599229,101416
28806822068977,146917
28807493317701,113542
28808162135307,117208
28808835718190,81791
28809507628537,73833
28810131829697,59167
28810804756415,59583
28811474351603,123958
28811475174558,288114
28812102323335,58708
28812676359733,50333
28813322824116,56250
28813997812203,46125
28814660720369,83708
28815331376678,66083
28815332151384,108749
28816001959362,63792
28816673903542,101667
28817343718395,72541
28817957177089,110917
28818627995605,77209
28819297095919,57542
28819966566065,127417
28820635250338,112166
28821310940173,77583
28821979831112,93624
28822610534836,109375
28823275846661,80874
28823936368501,75334
28824608911263,106250
28825273655423,83625
28825946472725,77458
28826618551071,94500
28827272031266,173749
28827934573059,88708
28828601230171,104000
28829271672064,78417
28829942591997,67666
28830605957787,78959
28831268183413,138375
28831935665940,80458
28832600828224,127749
28833271665658,106208
28833936274402,114208
28834608671122,104708
28835280874218,82125
28835930570883,56041
28836593257716,86125
28837263542734,124541
28837932684423,79417
28838598798537,112874
28840281625645,107374
28841960790180,103625
28843638406720,308582
28844270935479,54791
28844939406962,67417
28845574603796,58666
28846230628400,89542
28847902939915,80333
28848569379487,57625
28849232607569,49416
28849870761269,67375
28850542888198,85124
28852223956603,91958
28852894280170,72795
28853562470744,104545
28854230357556,75545
28854899905098,107254
28855561187580,69295
28855562059863,136297
28855671852976,93545
28856344274208,78044
28856979909313,75545
28857601988159,74586
28858219226783,68586
28858834605670,86670
28859472994628,52460
28860138154421,60294
28860762964787,95920
28861436453768,75877
28862063092202,126588
28862733577195,75669
28863358316725,71795
28863988353328,63960
28864659047537,54836
28865285312416,80295
28865951122984,77670
28866573627305,71169
28867837510778,79087
28867837595823,288678
28867946446484,67586
28868614620850,54835
28869283467490,109421
28869861999288,89795
28870483562366,68460
