20434420145260,383750
20436838342948,65125
20442826226015,145042
20447406490926,88125
20449768743810,50875
20452211417724,72583
20454641836754,76541
20459448040381,110292
20461789519238,40375
20466425891704,91458
20468701854157,431332
20471127212410,62583
20473528202771,50833
20475895169641,124708
20481890126064,59250
20484315696817,68375
20486741901192,57625
20490335424172,79166
20492673610288,104292
20495070900451,120333
20498546154962,176374
20502071772032,98875
20504500410283,77709
20506863805308,119749
20509283513490,96042
20511711729367,57209
20511824506637,42292
20512985585455,66666
20515302513642,60542
20517637373590,74958
20521230041237,109541
20523643087888,91875
20526059929659,81917
20532055730557,90208
20534477837068,112166
20536898498582,94917
20541772813763,48375
20544194518900,75166
